"Data on activities of multinational enterprises"
"U.S. Direct Investment Abroad,All U.S. Parent Companies (data for 2009 and forward),Total Assets" 
"Bureau of Economic Analysis" 
"By Industry of U.S. Parent Company (All Industries) (NAICS) (Millions of Dollars) <br/>"
"","Total Assets","Total Assets","Total Assets","Total Assets","Total Assets","Total Assets","Total Assets","Total Assets","Total Assets","Total Assets","Total Assets"
"  Broadcasting (except internet) and telecommunications",986292                 ,978964                 ,1061852               ,1100313               ,1202504               ,1314488               ,1445190               ,1595704               ,1666921               ,1770557               ,1844281               
"    Broadcasting (except internet)",249675                 ,251528                 ,385166                 ,393171                 ,405480                 ,433320                 ,458735                 ,303224                 ,345486                 ,348680                 ,421911                 
"      Radio and television broadcasting",50706                  ,50624                  ,"(D)","(D)","(D)",48931                  ,49457                  ,59396                  ,89076                  ,88924                  ,126715                 
"      Cable and other subscription programming",198969                 ,200904                 ,"(D)","(D)","(D)",384388                 ,409278                 ,243828                 ,256410                 ,259757                 ,295196                 
"    Telecommunications",736617                 ,727436                 ,676687                 ,707141                 ,797024                 ,881168                 ,986455                 ,1292480               ,1321435               ,1421877               ,1422370               
"      Wired and wireless telecommunications carriers","n.s.","n.s.","n.s.","n.s.","n.s.","n.s.","n.s.","n.s.","n.s.","n.s.",1368334               
"      Wired telecommunications carriers",700691                 ,690813                 ,376824                 ,387356                 ,465995                 ,433391                 ,437473                 ,705311                 ,1138059               ,1233255               ,"n.s."
"      Wireless telecommunications carriers (except satellite)",12441                  ,14594                  ,"(D)","(D)","(D)","(D)","(D)","(D)","(D)","(D)","n.s."
"      Satellite telecommunications","(D)","(D)","(D)",23051                  ,23617                  ,31403                  ,"(D)","(D)","(D)",37973                  ,27913                  
"      Other telecommunications","(D)","(D)","(D)","(D)","(D)","(D)",12500                  ,19337                  ,25030                  ,"(D)",26123                  
"  Data processing, hosting, and related services",47931                  ,40943                  ,46732                  ,84748                  ,89143                  ,119145                 ,122293                 ,140476                 ,153027                 ,135700                 ,165810                 
"  Other information services",162102                 ,170067                 ,191928                 ,240611                 ,273932                 ,376091                 ,400683                 ,445743                 ,449232                 ,511132                 ,578329                 
"Finance and insurance",16251822              ,17645992              ,18077668              ,18956326              ,19412591              ,22627620              ,22667770              ,22809550              ,23355009              ,24336515              ,26570505              
"  Depository credit intermediation (banking)",6661763               ,7160942               ,7390446               ,7828990               ,8189056               ,8499743               ,8814128               ,8764272               ,9190257               ,9992272               ,10575717              
"    Banks",6661763               ,7160942               ,7390446               ,7828990               ,8189056               ,8499743               ,8814128               ,8764272               ,9190257               ,9992272               ,"(D)"
"    Branches and agencies",0                       ,0                       ,0                       ,0                       ,0                       ,0                       ,0                       ,0                       ,0                       ,0                       ,"(D)"
"  Finance, except depository institutions",4560420               ,5278681               ,5390607               ,5560248               ,5679777               ,7358607               ,6909000               ,6925134               ,7018092               ,7338365               ,7955778               
"    Securities, commodity contracts, and other intermediation and related activities",2733446               ,2860339               ,2946056               ,3175910               ,3289046               ,4327354               ,3864813               ,3735838               ,3691795               ,3920182               ,4262904               
"      Securities and commodity contracts intermediation and brokerage",2291541               ,2415506               ,2470095               ,2678680               ,2607486               ,3173591               ,2850570               ,2705416               ,2727263               ,2949607               ,3259580               
"      Other financial investment activities and exchanges",441905                 ,444833                 ,475961                 ,497230                 ,681560                 ,1153763               ,1014243               ,1030422               ,964532                 ,970575                 ,1003324               
"    Nondepository credit intermediation and related services",1813464               ,2400316               ,2422558               ,2362189               ,2357826               ,2826141               ,2841548               ,2998913               ,3121214               ,3211525               ,3442733               
