"sector","country","year","Rem","TCC","TCP_1","Rem_relativa_eu","Rem_tcp_arg","Rem_relativa_eu_tcp"
"Finance and insurance","Argentina",2016,0.00422330097087379,14.7774461886724,36.5722685591162,-0.650183619533508,0.00170647338255146,-0.858652663837251
"Finance and insurance","Argentina",2017,0.00412234042553191,16.5567166666667,47.2745247712401,-0.663440122466071,0.00144374634667084,-0.882128343739855
"Finance and insurance","Argentina",2018,0.00378205128205128,28.1124303451178,63.92614147514,-0.700168702818857,0.00166321086764916,-0.868144920641438
"Finance and insurance","Argentina",2019,0.00338888888888889,48.2548583333333,99.8267630626399,-0.737537979025777,0.00163814139839562,-0.873129537095735
"Food","Argentina",1999,0.00238831615120275,1,1.94204817638903,-0.358450090244424,0.00122979243266946,-0.669652937782188
"Food","Argentina",2000,0.00238505747126437,1,1.95421063162881,-0.313316043927896,0.00122047103452531,-0.648613130561181
"Food","Argentina",2001,0.00185555555555556,1,2.06059852973482,-0.423807042159416,0.000900493487100738,-0.720375924991689
"Food","Argentina",2002,0.0014520202020202,3.14,3.1215238766912,-0.577715225651006,0.00146061462748647,-0.575215745951183
"Food","Argentina",2003,0.00126760563380282,2.93,3.62678218036872,-0.668036298916744,0.00102407156601411,-0.731813603408889
"Food","Argentina",2004,0.00118131868131868,2.93,3.52632076693515,-0.69721540595327,0.000981551017343223,-0.748417991671251
"Food","Argentina",2005,0.00136973180076628,2.92841666666667,3.95378151066347,-0.666503676808451,0.00101450862254506,-0.752991866527723
"Food","Argentina",2006,0.00152173913043478,3.07775,4.13760266056034,-0.654646724125514,0.00113194354144711,-0.743109444762694
"Food","Argentina",2007,0.00163430420711974,3.11916666666667,4.55311234908122,-0.66246146910189,0.00111960057543268,-0.768764999944384
"Food","Argentina",2008,0.00202173913043478,3.18316666666667,5.56801849870742,-0.538642444300839,0.00115580302224025,-0.736247644820631
"Food","Argentina",2009,0.00190594059405941,3.75,7.06523643464366,-0.590401288036336,0.00101161189633752,-0.78259819270419
"Food","Argentina",2010,0.00214492753623188,3.89,7.76258689096076,-0.527319886448529,0.0010748695290816,-0.763129782952079
"Food","Argentina",2011,0.00241536458333333,4.11,9.24962419496044,-0.489250008465394,0.00107324883998084,-0.773052134772032
"Food","Argentina",2012,0.00266290726817043,4.552518519,12.0427547747658,-0.445866557065344,0.0010066579349542,-0.790521121774954
"Food","Argentina",2013,0.00274691358024691,5.49,14.8444506378925,-0.451609205284728,0.00101590526476341,-0.797185794447542
"Food","Argentina",2014,0.00266908212560387,8.1236,21.3297597151226,-0.475520892326444,0.00101654007570385,-0.800248172693847
"Food","Argentina",2015,0.00293478260869565,9.43,25.3426007827942,-0.418095529699939,0.0010920347219765,-0.783472927583064
"Food","Argentina",2016,0.00295739348370927,14.7774461886724,36.5722685591162,-0.368124024067682,0.00119496888724861,-0.744683236776484
"Food","Argentina",2017,0.0035042735042735,16.5567166666667,47.2745247712401,-0.214595712308431,0.00122728390847961,-0.724931845999108
"Food","Argentina",2018,0.00352310231023102,28.1124303451178,63.92614147514,-0.178688978807304,0.00154933437259951,-0.638816791657349
"Food","Argentina",2019,0.0025125313283208,48.2548583333333,99.8267630626399,-0.380495767941391,0.00121452243453095,-0.700540335700051
"Information","Argentina",1999,0.00262345679012346,1,1.94204817638903,-0.361042524005486,0.00135087111742069,-0.67098783451265
"Information","Argentina",2000,0.00252487562189055,1,1.95421063162881,-0.380299080070216,0.00129201815864961,-0.682889392832096
"Information","Argentina",2001,0.00339646464646465,1,2.06059852973482,-0.130580162370072,0.00164829033771161,-0.578074125025307
"Information","Argentina",2002,0.00238970588235294,3.14,3.1215238766912,-0.408237918703455,0.00240385041633642,-0.404735312407489
"Information","Argentina",2003,0.00201149425287356,2.93,3.62678218036872,-0.602830059074049,0.00162504332154857,-0.679134872446426
"Information","Argentina",2004,0.00154761904761905,2.93,3.52632076693515,-0.741033383860687,0.00128590792194578,-0.784826101923887
"Information","Argentina",2005,0.00151360544217687,2.92841666666667,3.95378151066347,-0.758350852226786,0.00112107039594212,-0.821019601129621
