,year,sector,vab,emp,productividad,index,TCC,TCP_1,TCP_2,prod_tcc
35,2016,Minas y canteras,194422,,,,,2.474870697695416,1.6086191011435709,
36,2002,Industria manufacturera,35311,215744.0,0.16367083209730052,,3.14,0.9941158842965611,0.7066666934948361,0.16463959049715257
37,2003,Industria manufacturera,42403,215312.0,0.19693746748903918,,2.93,1.2378096178732818,0.8402254851792774,0.15910158124914509
38,2004,Industria manufacturera,52562,2299660.0,0.022856422253724463,,2.93,1.2035224460529526,0.8545070696306212,0.01899127210189051
39,2005,Industria manufacturera,61123,2470030.0,0.024745853289231304,,,1.3501430843732851,0.9063353378572974,0.018328319106058255
40,2006,Industria manufacturera,72311,2622810.0,0.02757004891700123,,,1.344359568048199,0.9263972315392778,0.02050794264590139
41,2007,Industria manufacturera,91387,2779240.0,0.03288201090945726,,,1.4597207637984138,1.045406646701571,0.02252623359545377
42,2008,Industria manufacturera,115210,2907800.0,0.0396210193273265,,,1.7492073402923984,1.2535363609397792,0.022650842135560345
43,2009,Industria manufacturera,112350,2819770.0,0.03984367519336683,,,1.8840630492383101,1.223506415269924,0.021147739832525696
44,2010,Industria manufacturera,148090,2905940.0,0.050961134779107624,,,1.9955236223549513,1.4283430244428186,0.02553772564163762
45,2011,Industria manufacturera,193349,3054720.0,0.06329516289545359,,,2.250516835756798,1.6176849656438348,0.02812472312572985
46,2012,Industria manufacturera,236290,3176500.0,0.07438690382496459,,,2.645295065688402,1.7692344305123848,0.02812045612220065
47,2012,Industria manufacturera,236290,3166310.0,0.07462630001484377,,,2.645295065688402,1.7692344305123848,0.02821095498298346
48,2012,Industria manufacturera,236736,3176500.0,0.07452730993231545,,,2.645295065688402,1.7692344305123848,0.028173533795527925
49,2012,Industria manufacturera,236736,3166310.0,0.07476715798516254,,,2.645295065688402,1.7692344305123848,0.028264203473915832
50,2013,Industria manufacturera,298184,3269000.0,0.09121566228204343,,,2.7039072200168492,1.8144801867546825,0.033734760426237936
51,2014,Industria manufacturera,418911,3289670.0,0.12734134426857405,,,2.6256536160227677,1.6721521353828568,0.0484989122295063
52,2015,Industria manufacturera,521252,3258490.0,0.15996734683856634,,,2.687444409628227,1.8053785023032782,0.05952396494805849
53,2016,Industria manufacturera,664423,,,,,2.474870697695416,1.6086191011435709,
54,2002,"Alimentos, bebidas y tabaco",12449,96994.0,0.1283481452460977,,3.14,0.9941158842965611,0.7066666934948361,0.12910783065992068
