sector,year,capital_expenditures,compensation_employees,employment,exports_by_parent_to_affiliates,exports_by_parent_to_other,imports_by_parent_to_affiliates,imports_by_parent_to_other,liabilities,net_income,owners_equity,rd_expenditures,total_assets,total_sales,value_added,CI,TGasset,TGequity,PT,Rem,TP
  Food,2018,13764.0,58067.0,888700.0,16463.0,41058.0,12466.0,5499.0,405538.0,27533.0,278119.0,2667.0,683656.0,507487.0,120108.0,387379.0,0.04027317832360134,0.09899719184953204,0.13515021942162708,0.0054449382993886205,0.4741591609692252
  Food,2019,15244.0,60928.0,926700.0,17247.0,38761.0,12254.0,6138.0,431122.0,36539.0,302688.0,2767.0,733810.0,511388.0,135140.0,376248.0,0.04979354328777204,0.12071505973147267,0.14582928671630516,0.005478939606488976,0.5997078518907563
  Furniture and related products,2009,229.0,4543.0,79100.0,489.0,878.0,487.0,707.0,10234.0,-21.0,7261.0,237.0,17495.0,18016.0,5076.0,12940.0,-0.0012003429551300372,-0.0028921636138272964,0.06417193426042983,0.004786135693215339,-0.004622496147919877
  Furniture and related products,2010,307.0,4529.0,75400.0,610.0,902.0,467.0,533.0,12160.0,-801.0,6083.0,216.0,18243.0,17979.0,5429.0,12550.0,-0.043907252096694625,-0.13167844813414434,0.0720026525198939,0.00500552608311229,-0.17686023404725104
  Furniture and related products,2011,297.0,5094.0,82200.0,622.0,902.0,708.0,543.0,12957.0,96.0,6091.0,243.0,19049.0,22222.0,6453.0,15769.0,0.005039634626489579,0.015760958791659826,0.07850364963503649,0.005164233576642336,0.01884570082449941
  Furniture and related products,2012,338.0,5352.0,79200.0,529.0,683.0,935.0,580.0,13116.0,278.0,5683.0,235.0,18800.0,23375.0,6922.0,16453.0,0.014787234042553192,0.04891782509238078,0.08739898989898989,0.005631313131313132,0.05194319880418535
  Furniture and related products,2013,391.0,5336.0,82400.0,712.0,899.0,998.0,582.0,12993.0,1127.0,6951.0,237.0,19944.0,24272.0,7377.0,16895.0,0.056508223024468514,0.162134944612286,0.08952669902912622,0.005396440129449839,0.21120689655172414
  Furniture and related products,2014,498.0,5627.0,94600.0,542.0,678.0,840.0,728.0,15021.0,1553.0,8113.0,632.0,23134.0,25767.0,7731.0,18036.0,0.06713063024120343,0.19142117589054602,0.081723044397463,0.0049568357998590554,0.27599075884130087
  Furniture and related products,2015,704.0,5184.0,82200.0,687.0,636.0,714.0,601.0,14763.0,1085.0,6588.0,542.0,21351.0,22534.0,7320.0,15214.0,0.05081729193012037,0.16469338190649666,0.08905109489051095,0.005255474452554744,0.20929783950617284
  Furniture and related products,2016,658.0,6177.0,83500.0,679.0,646.0,635.0,622.0,15474.0,1309.0,6172.0,595.0,21646.0,22755.0,8654.0,14101.0,0.060473066617388896,0.21208684381075826,0.10364071856287425,0.006164670658682634,0.2119151691759754
