;year;sector;vab;emp;IPC;TCC;index_TCP_1;index_TCP_2;TCP_1;TCP_2;ipi_empalme_04;vab_ipc;vab_ipi;vab_tcp_1;vab_tcc;vab_ipi_index;emp_index;productividad_ipc_level;productividad_ipi_level;productividad_tcp_1_level;productividad_tcc_level;productividad_ipi_index_1
141;2008;Resto industria;112450.0;709084.0;1.8171998268522611;3.1831666666666667;1.7492073402923984;1.2535363609397792;5.56801849870742;3.9902151595981405;1.5848373889999998;61880.921590656864;70953.65163674846;20195.694397585885;35326.456882559294;1.3585352945072167;1.3689065296249177;0.08726881665734507;0.1000638170326061;0.028481384994705684;0.04981984769443295;0.9924237083443946
142;2008;Total;214722.0;691856.0;1.8171998268522611;3.1831666666666667;1.7492073402923984;1.2535363609397792;5.56801849870742;3.9902151595981405;1.5848373889999998;118160.91814841283;135485.1933014309;38563.44946588205;67455.46887271585;1.686996332078679;1.2634770015760226;0.17078831165504504;0.1958286020522058;0.055739127023371984;0.09749929013077266;1.335201455961898
143;2008;Total Manufactura;115210.0;290780.0;1.8171998268522611;3.1831666666666667;1.7492073402923984;1.2535363609397792;5.56801849870742;3.9902151595981405;1.5848373889999998;63399.74189826214;72695.15522516488;20691.382405921475;36193.51798523483;1.8458386052811036;1.0912174967069834;0.2180333650810308;0.25000053382338844;0.07115820347314628;0.1244704518372475;1.6915405140142772
144;2009;Alimentos, bebidas y tabaco;48250.0;129729.0;2.0822573595387337;3.75;1.8840630492383101;1.223506415269924;7.065236434643663;4.588149057262215;1.7479247409999998;23171.96756633793;27604.163307623785;6829.212362011138;12866.666666666666;2.3426314605872873;1.230755364969736;0.17861825471820433;0.21278328906893434;0.05264214140254791;0.09918111344931871;1.9034095054665003
145;2009;Combustibles, quimicos y plasticos;38714.0;49852.0;2.0822573595387337;3.75;1.8840630492383101;1.223506415269924;7.065236434643663;4.588149057262215;1.7479247409999998;18592.322328771123;22148.55084541652;5479.505230733662;10323.733333333334;1.4173587229159628;1.0359287658707894;0.3729503796993325;0.4442861037755059;0.10991545435957759;0.20708764609912006;1.368200951273467
146;2009;Comunicaciones;25630.0;69139.0;2.0822573595387337;3.75;1.8840630492383101;1.223506415269924;7.065236434643663;4.588149057262215;1.7479247409999998;12308.757072025724;14663.10270620513;3627.6209914683;6834.666666666667;1.3443744542998517;1.1645443826848576;0.17802914522954807;0.21208149823117387;0.05246851981469648;0.09885399943109774;1.1544209686541922
147;2009;Electricidad, gas y agua;11865.0;35518.0;2.0822573595387337;3.75;1.8840630492383101;1.223506415269924;7.065236434643663;4.588149057262215;1.7479247409999998;5698.142905173048;6788.049692123444;1679.3493196945524;3164.0;0.9451216965549216;1.100105308802577;0.16042972310301956;0.1911157636162916;0.04728164084955663;0.0890815924320063;0.8591192943006982
148;2009;Maquinarias, equipos y vehiculos;8992.0;44040.0;2.0822573595387337;3.75;1.8840630492383101;1.223506415269924;7.065236434643663;4.588149057262215;1.7479247409999998;4318.390307906957;5144.386247920271;1272.710415734801;2397.866666666667;1.1165028083617314;1.056748650269946;0.09805609236845951;0.11681167683742667;0.028898964934940985;0.05444747199515592;1.0565452892478466
149;2009;Minas y canteras;43746.0;28913.0;2.0822573595387337;3.75;1.8840630492383101;1.223506415269924;7.065236434643663;4.588149057262215;1.7479247409999998;21008.93042812475;25027.393327571193;6191.724849503404;11665.6;2.647669835570567;2.425994294344689;0.7266257540941704;0.8656103942023032;0.2141502040432817;0.4034724864247916;1.0913751288461944
150;2009;Resto industria;127581.0;729851.0;2.0822573595387337;3.75;1.8840630492383101;1.223506415269924;7.065236434643663;4.588149057262215;1.7479247409999998;61270.524229657196;72989.98464144974;18057.56978979778;34021.6;1.3975245529095823;1.4089978049896428;0.08394935984147064;0.10000669265569238;0.024741446938892707;0.04661444596225805;0.9918571540428023
