"anio","sector","IBF","VAB","VAB.por.ocupado","VBP","act.corriente.sobre.act.total","activo","amortizaciones.en.VAB","coef.VAB","contribuciones.sobre.costo.salarial","costo.salarial.en.VAB","deuda.sobre.activo","deuda.sobre.k.propio","empleo.asalariado","empresas","empresas.exp","empresas.imp","expo","impo","impuestos.net.subsidios.en.VAB","liq.corriente","patrimonio.neto","rentabilidad.sobre.act","rentabilidad.sobre.k.propio","result.oper.en.VAB","salario.medio","salarios","saldo.comercial.bienes","tasa.inversion","utilidad","VAN","amortizaciones","c.intermedio","contribuciones","impuesto.prod","indemnizaciones","interes.rentas.cob","interes.rentas.pag","subsidios","salarios.en.VAB","apalancamiento","autofinanciamiento","deuda.pasivo","impuestos.prod","result.oper","utilidad.en.VAB","utilidad.por.ocupado","utilidad.por.ocupado.sobre.salario.medio","VAB.precios.basicos","productividad_corrientes","masa_salarial","consumo_intermedio","ganancia_antes_de_impuestos","ganancia_despues_impuestos","activo_corriente","activo_no_corriente","stock_de_capital","indice_consumo_capital_fijo","rotacion_capital_aproximada","capital_variable_adelantado","capital_constante_circulante_adelantado","tasa_de_ganancia"
1994,"k.nac",3425200000,11522000000,37100,30660900000,NA,NA,11.3,37.6,20.8,59.3,NA,NA,310619,258,144,192,3167800000,1840800000,2.6,NA,NA,NA,NA,26.8,1340,5412200000,1327000000,34.1,2279300000,NA,130198600000,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,414792000,1335.37227278434,245971656,30246108000,-130029779656,-130029779656,NA,NA,7811916000,NA,NA,NA,NA,NA
1994,"k.no.privat",5651100000,23516400000,49100,63077700000,NA,NA,9.1,37.3,21.2,49,NA,NA,479127,442,298,371,7886400000,8973600000,15.3,NA,NA,NA,NA,26.6,1456,9069600000,-1087200000,29.1,5077000000,NA,213999240000,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3833173200,8000.32809672592,1878254868,59244526800,-212044321668,-212044321668,NA,NA,12839954400,NA,NA,NA,NA,NA
1994,"k.privat.conce",5535400000,10616800000,125100,21038100000,NA,NA,23.2,50.5,22.7,25.6,NA,NA,84871,58,20,50,1567100000,747800000,14.8,NA,NA,NA,NA,36.4,1903,2099900000,819300000,52.4,3020700000,NA,246309760000,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1677454400,19764.7535671784,429428326.4,19360645600,-245061733926.4,-245061733926.4,NA,NA,14778585600,NA,NA,NA,NA,NA
1994,"manufactura.alimentos",918700000,6025800000,57800,18556400000,NA,NA,6.4,32.5,20.5,34.9,NA,NA,104346,107,91,93,4572800000,712800000,33,NA,NA,NA,NA,25.6,1234,1674200000,3859900000,19.9,1320000000,NA,38565120000,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2048772000,19634.4086021505,715021428,16507628000,-37231369428,-37231369428,NA,NA,2313907200,NA,NA,NA,NA,NA
1994,"manufactura.combustibles",1630100000,6227900000,125900,15207800000,NA,NA,7.4,41,21.5,29.2,NA,NA,49449,88,82,88,1114700000,2109000000,39.5,NA,NA,NA,NA,24,2221,1427900000,-994300000,27,1389500000,NA,46086460000,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2522299500,51008.0992537766,736511454,12685500500,-44300671954,-44300671954,NA,NA,2765187600,NA,NA,NA,NA,NA
1994,"manufactura.maquinaria",519000000,2530500000,53700,9904800000,NA,NA,10.9,25.6,22.2,56.1,NA,NA,47084,45,38,44,1201400000,3675000000,-6.3,NA,NA,NA,NA,39.3,1805,1104900000,-2473600000,31.9,863000000,NA,27582450000,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-134116500,-2848.45170333871,-75239356.5,10038916500,-27641327143.5,-27641327143.5,NA,NA,1654947000,NA,NA,NA,NA,NA
1994,"manufactura.minerales",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1994,"manufactura.nocat",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1994,"manufactura.resto",507200000,3160100000,41800,9094600000,NA,NA,14.6,34.8,19.6,55.6,NA,NA,75592,79,69,76,1239500000,1179900000,-1.8,NA,NA,NA,NA,31.6,1436,1411600000,59700000,22.4,802100000,NA,46137460000,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-25280800,-334.437506614457,-14056124.8,9119880800,-46148684675.2,-46148684675.2,NA,NA,2768247600,NA,NA,NA,NA,NA
1994,"manufactura.subtotal",3575100000,17944200000,64900,52763600000,NA,NA,8.8,34,20.9,39.6,NA,NA,276471,319,280,301,8128300000,7676700000,23.6,NA,NA,NA,NA,28.1,1563,5618700000,451600000,24.5,4374600000,NA,157908960000,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4414273200,15966.4963052183,1748052187.2,48349326800,-155242738987.2,-155242738987.2,NA,NA,9474537600,NA,NA,NA,NA,NA
1994,"manufactura.textiles",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1994,"minas",1534800000,2797000000,292000,4370600000,NA,NA,34.5,64,21.4,15.2,NA,NA,9580,16,16,14,1136200000,56500000,2.6,NA,NA,NA,NA,47.7,2691,335100000,1079700000,57.4,970000000,NA,96496500000,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,100692000,10510.6471816284,15305184,4269908000,-96411113184,-96411113184,NA,NA,5789790000,NA,NA,NA,NA,NA
1994,"otras.comercio",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1994,"otras.comunicaciones",3017200000,4299300000,69900,6751500000,NA,NA,23.8,63.7,22.2,38.9,NA,NA,61535,15,NA,NA,NA,NA,7.1,NA,NA,NA,NA,30.2,1627,1301400000,NA,71.2,1099200000,NA,102323340000,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,348243300,5659.2719590477,135466643.7,6403256700,-102110563343.7,-102110563343.7,NA,NA,6139400400,NA,NA,NA,NA,NA
